##SHEET:attacking_map
node_id|from_node_id|next_node_id|parent_action_id|position_family|recommended_followup_tree|is_terminal|edge_label|sort_order|priority_rank|start_position|role|your_action|partner_response|follow_up|end_position|outcome_type|success_condition|failure_risk|gi_no_gi|skill_level|priority|notes|key_details|common_mistakes|concept_tags|chain_family|energy_cost|video_ref_slot|counter_if_fails|reaction_tags|grip_tags
BG-BK-001|BG-A-harness-to-strangle-chain||BG-A-harness-to-strangle-chain|back_control||No|Partner two-hands defends → Switch side / attack second side|1|1|Back control|Top/back|Harness to strangle chain|Partner two-hands defends|Switch side / attack second side|Submission|Submission threat|Harness maintained across switches|Loses harness during switch|Both|Brown|High|Master-level back system.|Switch strong/weak sides while keeping harness|Letting harness slip during switches|seatbelt;reaction_based;connection|rnc_chain|High|VID-BG-BK-001|Mount transition|R-DOUBLE-WRIST|G-SEATBELT
BG-PAS-001|BG-A-cartwheel-pass|SC-ROOT|BG-A-cartwheel-pass|passing_top|Side Control Top Tree|No|Partner invert-defends → Cartwheel over legs|1|3|Top half guard|Top|Cartwheel pass|Partner invert-defends|Cartwheel over legs|Side control or back take|Pass/back take|Far-side grips + hips floated|Loss of balance during cartwheel|Gi|Brown|Low|Flashy but effective pass.|Post hand; base with shoulder; cartwheel legs|Slow execution; weight back|base;angle;tempo|cartwheel_chain|High|VID-BG-PAS-001|Knee cut|R-INVERTS|G-PANT-GRIP;G-HEAD-CONTROL
BG-PAS-002|BG-A-folding-pass|SC-ROOT|BG-A-folding-pass|guard_bottom|Side Control Top Tree|No|Partner on back; legs elevated → Fold far leg over near|1|2|Open guard|Top|Folding pass|Partner on back; legs elevated|Fold far leg over near|Side control|Pass|Fold leg across centerline|Bottom spins|Both|Brown|Medium|Modern folding pass.|Grab far ankle; fold over; drop shoulder|Folding without shoulder pressure|pressure;angle;connection|folding_pass_chain|High|VID-BG-PAS-002|Switch to torreando|R-FOLDS-LEG|G-HEAD-CONTROL
BG-SUB-001|BG-A-gogoplata-from-north-south|TERM-SUB|BG-A-gogoplata-from-north-south|pin_top|End State: Submission|Yes|Partner grips your sleeve → Leg to choke from mounted position|1|3|Side control top|Top|Gogoplata from north-south|Partner grips your sleeve|Leg to choke from mounted position|Submission|Submission|Rare gogoplata setup|Missed angle|Both|Brown|Low|Exotic attack.|Invert into position; shin across neck|Going for it without control|arm_isolation;invert;angle|exotic_chain|High|VID-BG-SUB-001|Return to mount|R-DEFENDS-NECK|G-WRIST-CONTROL
BG-SUB-002|BG-A-bicep-slicer-from-guard|TERM-SUB|BG-A-bicep-slicer-from-guard|guard_bottom|End State: Submission|Yes|Partner stiff-arms → Trap arm with leg; compress|1|3|Closed guard|Bottom|Bicep slicer from guard|Partner stiff-arms|Trap arm with leg; compress|Submission|Submission|Arm trapped across body|Arm slips out|Both|Brown|Low|Compression finish.|Leg over arm; pull wrist to hip|Not isolating bicep|arm_isolation;angle|compression_chain|Medium|VID-BG-SUB-002|Switch to omoplata|R-STRAIGHTENS-ARM|G-WRIST-CONTROL
BG-SUB-003|BG-A-ezekiel-from-mount|TERM-SUB|BG-A-ezekiel-from-mount|pin_top|End State: Submission|Yes|Partner frames → Sleeve-assisted choke|1|2|Mount top|Top|Ezekiel from mount|Partner frames|Sleeve-assisted choke|Submission|Submission|One arm behind head; other sleeve grip|Unable to feed arm|Gi|Brown|Medium|Gi mount choke.|Reach through own sleeve; form blade|Shallow sleeve feed|grip_fighting;neck_control;pressure|ezekiel_chain|Medium|VID-BG-SUB-003|Cross choke|R-FRAMES|G-EZEKIEL-GRIP
BG-BLK-001|BG-A-chain-of-3-attacks|TERM-SUB|BG-A-chain-of-3-attacks|any|End State: Submission|Yes|Partner defends two initial attacks → Third attack off previous reactions|1|1|Any|Any|Chain of 3 attacks|Partner defends two initial attacks|Third attack off previous reactions|Submission or position|Submission|Timing + shared setup across chains|Forcing instead of reacting|Both|Black|High|Chaining mastery.|Plan 3 attacks that share setup|Planning sub-specific chains only|chain_attack;reaction_based;tempo|chain_mastery|High|VID-BG-BLK-001|Reset|R-FIGHTS-GRIPS|G-NONE
BG-BLK-002|BG-A-pendulum-submission-chain|TERM-SUB|BG-A-pendulum-submission-chain|guard_bottom|End State: Submission|Yes|Partner switches between defenses → Pendulum armbar to triangle to omoplata|1|1|Closed guard|Bottom|Pendulum submission chain|Partner switches between defenses|Pendulum armbar to triangle to omoplata|Submission|Submission|Seamless hip switches|Losing pivot during switch|Both|Black|High|Flow-based attacks.|Pendulum hips off angle; always have 2 threats|Attacking only one side|angle;hip_mobility;chain_attack|armbar_triangle_chain|High|VID-BG-BLK-002|Closed guard|R-FIGHTS-GRIPS|G-WRIST-CONTROL
BG-BLK-003|BG-A-back-control-maze|BK-ROOT|BG-A-back-control-maze|back_control|Back Control Tree|No|Partner escape-resists → Maintain via continuous threats|1|1|Back control|Top/back|Back control maze|Partner escape-resists|Maintain via continuous threats|Back control|Control|Constant low-grade threats|Over-committing to one sub|Both|Black|High|Control through constant threat.|Always have 2 choke options ready|Relaxing off threats|connection;position_hierarchy;tempo|back_control_chain|Medium|VID-BG-BLK-003|Mount|R-STRIP-GRIPS|G-SEATBELT
BG-BLK-004|BG-A-pass-decision-system|SC-ROOT|BG-A-pass-decision-system|passing_top|Side Control Top Tree|No|Partner knee shield + whizzer → Read hips; choose knee cut vs backstep|1|1|Top half guard|Top|Pass decision system|Partner knee shield + whizzer|Read hips; choose knee cut vs backstep|Side control top|Pass|Read opponent pressure direction|Tunnel vision on one pass|Both|Black|High|Reading opponent.|Feel hip direction; knee cut if flat, backstep if turned|Forcing one pass|reaction_based;pressure;angle|decision_making|High|VID-BG-BLK-004|Reset HQ|R-KNEE-SHIELD|G-CROSSFACE;G-UNDERHOOK
BG-BLK-005|BG-A-grip-fighting-priority-syste||BG-A-grip-fighting-priority-syste|standing||No|Partner establishes grip → Strip and impose own grip|1|1|Standing / Neutral|Standing|Grip fighting priority system|Partner establishes grip|Strip and impose own grip|Grip advantage|Control|Strip first, then set|Counter-gripping without stripping|Both|Black|High|Elite grip fighting.|Always strip first; set grip on your terms|Letting them keep their grips|grip_fighting;tempo;obscured_lines|grip_chain|Medium|VID-BG-BLK-005|Reset stance|R-FIGHTS-GRIPS|G-NONE
NG-ST-001|NG-A-russian-2-on-1|BK-ROOT|NG-A-russian-2-on-1|standing|Back Control Tree|No|Opponent passive in tie-up → Drag to back or set up single|1|1|Standing / Neutral|Standing|Russian 2-on-1|Opponent passive in tie-up|Drag to back or set up single|Back control or single leg|Control/takedown|Two hands on one arm; angle off|Opponent re-pummels|No-gi|White|High|Foundational no-gi tie-up.|Overhook + wrist pull; step out|Standing square|two_on_one;angle;tie_up|two_on_one_chain|Medium|VID-NG-ST-001|Collar tie reset|R-HAND-FIGHT|G-OVERHOOK-NOGI;G-TWO-ON-ONE
NG-ST-002|NG-A-collar-tie-inside-bicep-tie|FH-ROOT|NG-A-collar-tie-inside-bicep-tie|standing|Front Headlock Tree|No|Opponent pressures forward → Snapdown to front headlock|1|1|Standing / Neutral|Standing|Collar tie + inside bicep tie|Opponent pressures forward|Snapdown to front headlock|Front headlock top|Control|Head pulled below shoulders|Circles out|No-gi|White|High|No-gi snapdown.|Collar tie + bicep control; pull down and angle|No level change; pulling straight|head_position;angle;tie_up|snapdown_chain|Medium|VID-NG-ST-002|Single leg|R-FORWARD-PRESSURE|G-COLLAR-TIE;G-INSIDE-TIE
NG-ST-003|NG-A-body-lock|MT-ROOT|NG-A-body-lock|standing|Mount Top Tree|No|Opponent short-hips away → Trip rear leg|1|2|Standing / Neutral|Standing|Body lock|Opponent short-hips away|Trip rear leg|Top mount or side|Takedown|Body lock + hip to hip|Unable to secure body lock|No-gi|Blue|Medium|Body lock classic.|Chest to chest; trip back leg|Light body lock; no hip connection|connection;base_breaking;angle|body_lock_chain|High|VID-NG-ST-003|Back take|R-BASES-POSTS|G-BODY-LOCK
NG-ST-004|NG-A-ankle-pick-no-gi||NG-A-ankle-pick-no-gi|standing||No|Opponent loads lead foot → Pick ankle + collar pull|1|2|Standing / Neutral|Standing|Ankle pick no-gi|Opponent loads lead foot|Pick ankle + collar pull|Top position|Takedown|Weight loaded on target|Steps foot back|No-gi|Blue|Medium|No-gi ankle pick.|Collar tie pull; drop and scoop ankle|Reaching; no weight load|level_change;weight_loading;tie_up|ankle_pick_chain|Low|VID-NG-ST-004|Chain to single|R-WEIGHT-LOADED|G-COLLAR-TIE
NG-ST-005|NG-A-duck-under|BK-ROOT|NG-A-duck-under|standing|Back Control Tree|No|Opponent extends arm → Slip under arm to back|1|2|Standing / Neutral|Standing|Duck under|Opponent extends arm|Slip under arm to back|Back control standing|Back take|Level change under arm; hip in|Gets caught in front headlock|No-gi|Purple|Medium|Wrestling duck.|Level change and rotate; chest to back|Standing tall during duck|level_change;angle;connection|duck_under_chain|Medium|VID-NG-ST-005|Single leg|R-DUCK-UNDER|G-BODY-LOCK
NG-ST-006|NG-A-double-leg||NG-A-double-leg|standing||No|Opponent stays upright → Drive through|1|1|Standing / Neutral|Standing|Double leg|Opponent stays upright|Drive through|Top position|Takedown|Penetration step; ear to chest|Stuffed|No-gi|White|High|Same as gi, emphasized here for no-gi completeness.|Level change first; near knee mat; lift corner|Head too low; reaching|level_change;posture;penetration_step|double_leg_chain|High|VID-NG-ST-006|Single leg|R-POSTURE-UP|G-HANDS-LOCKED
NG-ST-007|NG-A-high-crotch||NG-A-high-crotch|standing||No|Opponent square stance → Drop into high crotch|2|2|Standing / Neutral|Standing|High crotch|Opponent square stance|Drop into high crotch|Top position|Takedown|Head inside; chest to leg|Opponent sprawls/limp-arms|No-gi|Purple|Medium|Wrestling classic.|Cut corner; elbow pinch; pop up|Shooting from too far|head_position;angle;penetration_step|wrestling_chain|High|VID-NG-ST-007|Switch to single|R-SPRAWL|G-HANDS-LOCKED
NG-ST-008|NG-A-snapdown-spin|BK-ROOT|NG-A-snapdown-spin|standing|Back Control Tree|No|Opponent posts hands → Snap and spin to back|1|1|Standing / Neutral|Standing|Snapdown + spin|Opponent posts hands|Snap and spin to back|Back control|Back take|Head below shoulders + momentum|Letting go of head|No-gi|Blue|High|Common no-gi back take.|Snap; keep head; spin; harness|Releasing head during spin|head_position;angle;chain_attack|snapdown_chain|Medium|VID-NG-ST-008|Front headlock|R-POSTS-HANDS|G-COLLAR-TIE;G-SEATBELT
NG-ST-009|NG-A-arm-drag|BK-ROOT|NG-A-arm-drag|standing|Back Control Tree|No|Opponent reaches → Drag to back or single|3|2|Standing / Neutral|Standing|Arm drag|Opponent reaches|Drag to back or single|Back control or single|Back take/takedown|Arm crosses centerline|Squares back up|No-gi|White|Medium|No-gi arm drag.|2-on-1 tricep; pull past hip|Pulling straight back|angle;two_on_one;tie_up|arm_drag_chain|Low|VID-NG-ST-009|Re-tie|R-FORWARD-PRESSURE|G-TWO-ON-ONE
NG-ST-010|NG-A-front-headlock-to-go-behind|FH-TURTLE|NG-A-front-headlock-to-go-behind|standing|Turtle Attack Subtree|No|Opponent heavy on head → Circle to back|1|1|Standing / Neutral|Standing|Front headlock to go-behind|Opponent heavy on head|Circle to back|Back or turtle top|Back take|Control head; circle behind|Peeks out|No-gi|Blue|High|Wrestling go-behind.|Far arm under chin; near arm armpit|Walking around without hip pressure|angle;connection;head_position|front_headlock_chain|Medium|VID-NG-ST-010|Re-tie|R-FORWARD-PRESSURE|G-GUILLOTINE-GRIP
NG-CG-001|NG-A-overhook-system-no-gi|CG-ROOT|NG-A-overhook-system-no-gi|guard_bottom|Closed Guard Tree|No|Opponent postures → Hip bump / kimura / guillotine chain|1|2|Closed guard|Bottom|Overhook system (no-gi)|Opponent postures|Hip bump / kimura / guillotine chain|Closed guard attack|Submission/sweep threat|Deep overhook + wrist|Overhook stripped|No-gi|Blue|Medium|No-gi closed guard basics.|Overhook shoulder to ear; wrist control|Loose overhook|posture_breaking;arm_isolation;chain_attack|overhook_chain|Medium|VID-NG-CG-001|Release to hip bump|R-POSTURE-UP|G-OVERHOOK;G-WRIST-CONTROL
NG-CG-002|NG-A-kimura-grip|MT-ROOT|NG-A-kimura-grip|guard_bottom|Mount Top Tree|No|Opponent hides hand → Hip bump / guillotine|3|1|Closed guard|Bottom|Kimura grip|Opponent hides hand|Hip bump / guillotine|Sub or mount|Submission/sweep|Fig-4 controls shoulder|Postures out|No-gi|White|High|No-gi kimura system.|Elbow tight; pull shoulder across|Elbow flare|arm_isolation;angle;chain_attack|kimura_chain|Medium|VID-NG-CG-002|Sweep|R-HIDES-HAND|G-FIGURE-FOUR
NG-CG-003|NG-A-guillotine-10-finger|TERM-SUB|NG-A-guillotine-10-finger|guard_bottom|End State: Submission|Yes|Opponent drops head → Finish 10-finger|1|1|Closed guard|Bottom|Guillotine (10-finger)|Opponent drops head|Finish 10-finger|Submission|Submission|Head captured + elbow high|Stacked|No-gi|Blue|High|Classic no-gi guillotine.|Chest to chin; pull elbow up|Pulling with shoulder only|neck_control;posture_breaking;angle|guillotine_chain|Medium|VID-NG-CG-003|Release to hip bump|R-FORWARD-PRESSURE|G-GUILLOTINE-GRIP
NG-CG-004|NG-A-high-elbow-guillotine|TERM-SUB|NG-A-high-elbow-guillotine|guard_bottom|End State: Submission|Yes|Opponent drives in → Finish with high elbow|1|1|Closed guard|Bottom|High-elbow guillotine|Opponent drives in|Finish with high elbow|Submission|Submission|High-elbow mara; chin blade|Arm-in stacked|No-gi|Purple|High|Modern guillotine system.|High elbow; palm to own chest; close guard|Elbow low; palm up|neck_control;angle;invisible_mile|guillotine_chain|High|VID-NG-CG-004|Hip bump|R-FORWARD-PRESSURE|G-GUILLOTINE-GRIP
NG-OG-001|NG-A-butterfly-guard|TOP-CONTROL-ROOT|NG-A-butterfly-guard|guard_bottom|Top Control Tree|No|Opponent stands → Hook sweep|1|1|Open guard|Bottom|Butterfly guard|Opponent stands|Hook sweep|Top position|Sweep|Both feet hooks + underhook/2-on-1|Hooks stripped|No-gi|Blue|High|Core no-gi guard.|Inside hooks; underhook or 2-on-1; sit up|Hooks too shallow|underhook_fight;base_breaking;connection|butterfly_chain|Medium|VID-NG-OG-001|Come up to single|R-STAYS-STANDING|G-BUTTERFLY-HOOK;G-UNDERHOOK
NG-OG-002|NG-A-butterfly-to-x-guard|OG-XGUARD|NG-A-butterfly-to-x-guard|guard_bottom|X-guard Subtree|No|Opponent bases wide → Switch to X-guard|1|1|Open guard|Bottom|Butterfly to X-guard|Opponent bases wide|Switch to X-guard|X-guard|Sweep setup|Slide under near leg to X|Smashed flat|No-gi|Purple|High|Butterfly to X transition.|Bump; duck under leg; trap leg|Not elevating before transition|angle;hip_mobility;connection|xguard_chain|High|VID-NG-OG-002|Come up to single|R-WIDE-BASE|G-X-GUARD-HOOKS
NG-OG-003|NG-A-x-guard-sweep|TOP-CONTROL-ROOT|NG-A-x-guard-sweep|guard_bottom|Top Control Tree|No|Opponent in X → Sweep forward or come up|1|1|Open guard|Bottom|X-guard sweep|Opponent in X|Sweep forward or come up|Top position or single|Sweep/takedown|Both hooks + weight on shoulder|Pulls leg out|No-gi|Purple|High|X-guard finish.|Collapse near leg; far leg extends|Hooks disengage during sweep|connection;base_breaking;angle|xguard_chain|High|VID-NG-OG-003|Single leg|R-STAYS-STANDING|G-X-GUARD-HOOKS
NG-OG-004|NG-A-z-guard-no-gi|LE-ROOT|NG-A-z-guard-no-gi|guard_bottom|Leg Entanglement Tree|No|Opponent forward pressure → Reverse SLX / 50-50 entry|1|1|Open guard|Bottom|Z-guard (no-gi)|Opponent forward pressure|Reverse SLX / 50-50 entry|Leg entanglement|Leg entry|Knee shield + outside foot|Smash pass|No-gi|Purple|High|No-gi Z to leg entry.|Knee shield; rotate to outside ashi|Knee shield with no exit|frames;invert;leg_entangle|zguard_leg_entangle|High|VID-NG-OG-004|Recover guard|R-FORWARD-PRESSURE|G-KNEE-SHIELD;G-ASHI-GARAMI
NG-OG-005|NG-A-reverse-de-la-riva-rdlr|LE-ROOT|NG-A-reverse-de-la-riva-rdlr|guard_bottom|Leg Entanglement Tree|No|Opponent standing → Off-balance or leg entry|1|1|Open guard|Bottom|Reverse De la Riva (RDLR)|Opponent standing|Off-balance or leg entry|Top or leg entanglement|Sweep/leg entry|RDLR hook; ankle grip|Smash pass|No-gi|Purple|High|RDLR leg entry.|Outside hook deep; ankle grip|Shallow hook|frames;angle;leg_entangle|rdlr_chain|High|VID-NG-OG-005|SLX entry|R-KNEE-CUT-THREAT|G-RDLR-HOOK;G-ANKLE-GRIP
NG-HGB-001|NG-A-underhook-hip-to-come-up|HGB-ROOT|NG-A-underhook-hip-to-come-up|guard_bottom|Half Guard Bottom Tree|No|Opponent crossfaces → Recover knee shield|1|1|Half guard bottom|Bottom|Underhook + hip to come up|Opponent crossfaces|Recover knee shield|Half guard bottom|Recovery|Frame neck; hip out|Flattened|No-gi|White|High|No-gi half guard restart.|Forearm to jaw; hip out; insert shin|No frame|frames;hip_escape;underhook_fight|half_guard_chain|Medium|VID-NG-HGB-001|Roll under|R-CROSSFACE|G-NECK-FRAME
NG-HGB-002|NG-A-lockdown-eddie-bravo-style|HGB-DOGFIGHT|NG-A-lockdown-eddie-bravo-style|guard_bottom|Half Guard Dogfight Subtree|No|Opponent tries to pass → Whip up and underhook|1|2|Half guard bottom|Bottom|Lockdown (eddie bravo style)|Opponent tries to pass|Whip up and underhook|Dogfight|Sweep/submission|Figure-four legs on leg|Opponent postures and passes|No-gi|Purple|Medium|Rubber-guard family.|Figure-4 legs; whip up; underhook|Not pummeling arm|frames;invert|lockdown_chain|High|VID-NG-HGB-002|Sweep|R-FORWARD-PRESSURE|G-UNDERHOOK
NG-HGB-003|NG-A-knee-shield-to-kimura|TOP-CONTROL-ROOT|NG-A-knee-shield-to-kimura|guard_bottom|Top Control Tree|No|Opponent underhooks → Kimura trap far arm|1|2|Half guard bottom|Bottom|Knee shield to kimura|Opponent underhooks|Kimura trap far arm|Kimura trap|Submission/sweep|Far-arm reach|Opponent rips arm out|No-gi|Purple|Medium|Kimura from half guard.|Knee shield; trap far wrist; sit up|Not sitting up with kimura|arm_isolation;frames;connection|kimura_trap_chain|Medium|VID-NG-HGB-003|Recover knee shield|R-GETS-UNDERHOOK|G-FIGURE-FOUR
NG-PAS-001|NG-A-smash-pass-no-gi|SC-ROOT|NG-A-smash-pass-no-gi|passing_top|Side Control Top Tree|No|Bottom keeps knee shield → Drive underhook + long step|1|1|Top half guard|Top|Smash pass no-gi|Bottom keeps knee shield|Drive underhook + long step|Side control|Pass|Underhook + head to mat|Bottom comes up|No-gi|Blue|High|No-gi smash pass fundamentals.|Underhook deep; head to mat; long step|Passing without underhook|pressure;underhook_fight;head_position|smash_pass_chain|High|VID-NG-PAS-001|Backstep|R-KNEE-SHIELD|G-UNDERHOOK;G-CROSSFACE
NG-PAS-002|NG-A-headquarters-pass-no-gi|SC-ROOT|NG-A-headquarters-pass-no-gi|guard_bottom|Side Control Top Tree|No|Bottom plays open → Step to HQ; knee slide|1|1|Open guard|Top|Headquarters pass (no-gi)|Bottom plays open|Step to HQ; knee slide|Side control|Pass|Shin across far knee; foot near hip|Bottom inverts|No-gi|Purple|High|Modern no-gi pass.|Shin blocks; head low; knee cut|Square stance|frames;pressure;angle|hq_pass_chain|Medium|VID-NG-PAS-002|Torreando|R-HEADQUARTERS|G-INSIDE-SHIN
NG-PAS-003|NG-A-toreando-no-gi|SC-ROOT|NG-A-toreando-no-gi|guard_bottom|Side Control Top Tree|No|Bottom legs up → Pin pants/ankles and sprint around|1|1|Open guard|Top|Toreando no-gi|Bottom legs up|Pin pants/ankles and sprint around|Side control|Pass|Control ankles; fast circle|Bottom spins|No-gi|Blue|High|Core modern pass.|Pin ankles to mat; head inside; walk|Dropping ankles|distance_management;angle;tempo|toreando_chain|High|VID-NG-PAS-003|Reset|R-RECOVER-GUARD|G-ANKLE-GRIP
NG-PAS-004|NG-A-body-lock-pass|SC-ROOT|NG-A-body-lock-pass|guard_bottom|Side Control Top Tree|No|Opponent keeps open guard → Body lock and step over legs|1|2|Open guard|Top|Body lock pass|Opponent keeps open guard|Body lock and step over legs|Side control / mount|Pass|Body lock + hip to hip|Leg inserted|No-gi|Brown|Medium|Modern body lock pass.|Body lock; staple leg; step over|Body lock without stapling|pressure;connection;angle|body_lock_pass_chain|High|VID-NG-PAS-004|Reset|R-GUARD-RETENTION|G-BODY-LOCK
NG-SC-001|NG-A-north-south-choke|TERM-SUB|NG-A-north-south-choke|pin_top|End State: Submission|Yes|Bottom turns away → Squeeze bicep into neck|1|1|Side control top|Top|North-south choke|Bottom turns away|Squeeze bicep into neck|Submission|Submission|Chest on chin; bicep lock|Turns out|No-gi|Blue|High|Marcelo-style no-gi choke.|Bicep across neck; chest pressure; elbow to mat|Shallow bicep; chest off|neck_control;pressure;connection|ns_choke_chain|Medium|VID-NG-SC-001|Back take|R-TURNS-AWAY|G-HEAD-ARM-TRIANGLE
NG-SC-002|NG-A-arm-triangle-head-and-arm|TERM-SUB|NG-A-arm-triangle-head-and-arm|pin_top|End State: Submission|Yes|Bottom frames near shoulder → Pass shoulder through; finish|1|1|Side control top|Top|Arm triangle (head-and-arm)|Bottom frames near shoulder|Pass shoulder through; finish|Submission|Submission|Own shoulder on neck + arm across|Frames interfere|No-gi|Blue|High|Fundamental head-and-arm.|Pass off far side; shoulder to neck|Not clearing far leg|neck_control;arm_isolation;pressure|arm_triangle_chain|High|VID-NG-SC-002|Mount|R-FRAMES|G-HEAD-ARM-TRIANGLE
NG-MT-001|NG-A-arm-triangle-from-mount|TERM-SUB|NG-A-arm-triangle-from-mount|pin_top|End State: Submission|Yes|Bottom bridges → Dismount to finish|1|1|Mount top|Top|Arm triangle from mount|Bottom bridges|Dismount to finish|Submission|Submission|Shoulder across neck; arm trapped|Loses mount|No-gi|Blue|High|Arm triangle finish.|Trap arm; shoulder neck; dismount safe side|Dismounting wrong side|arm_isolation;pressure;connection|arm_triangle_chain|High|VID-NG-MT-001|Back to mount|R-UPA|G-HEAD-ARM-TRIANGLE
NG-MT-002|NG-A-ezekiel-no-gi|TERM-SUB|NG-A-ezekiel-no-gi|pin_top|End State: Submission|Yes|Bottom bridges → Sleeve-free ezekiel|1|3|Mount top|Top|Ezekiel no-gi|Bottom bridges|Sleeve-free ezekiel|Submission|Submission|Forearm blade no-gi|Opponent hides neck|No-gi|Purple|Low|No-gi ezekiel variant.|Blade of forearm; close pressure|Shallow blade|neck_control;pressure|ezekiel_chain|Low|VID-NG-MT-002|Other submissions|R-BRIDGE|G-NONE
NG-BK-001|NG-A-rnc-no-gi||NG-A-rnc-no-gi|back_control||No|Opponent two-hands defense → Trap wrist with leg; re-attack|1|1|Back control|Top/back|RNC no-gi|Opponent two-hands defense|Trap wrist with leg; re-attack|Submission|Submission threat|Leg-trap wrist|Shoulders to mat|No-gi|Blue|High|No-gi RNC system.|Strong-over; weak-under; leg trap|Crossed feet|seatbelt;connection;grip_fighting|rnc_chain|Medium|VID-NG-BK-001|Body triangle|R-DOUBLE-WRIST|G-SEATBELT;G-WRIST-CONTROL
NG-BK-002|NG-A-body-triangle|BK-ROOT|NG-A-body-triangle|back_control|Back Control Tree|No|Opponent hip escapes → Lock body triangle|1|2|Back control|Top/back|Body triangle|Opponent hip escapes|Lock body triangle|Back control|Control|Leg trapped around torso + foot behind knee|Leg freed|No-gi|Purple|Medium|Back retention.|Cross leg over; foot behind knee|No chest-to-back|connection;position_hierarchy|back_retention_chain|Medium|VID-NG-BK-002|Mount|R-HIPS-TO-FLOOR|G-SEATBELT
NG-BK-003|NG-A-crucifix-from-back|TERM-SUB|NG-A-crucifix-from-back|back_control|End State: Submission|Yes|Opponent posts arm → Trap arm; use legs|1|2|Back control|Top/back|Crucifix from back|Opponent posts arm|Trap arm; use legs|Submission/back|Submission|Arm between your legs|Arm hides|No-gi|Brown|Medium|Crucifix chain.|Leg traps far arm; strangle near|Crucifix without leg control|arm_isolation;connection|crucifix_chain|Medium|VID-NG-BK-003|Return to back|R-REACHES-UNDERHOOK|G-ARM-TRAP
NG-FH-001|NG-A-high-elbow-guillotine-standi|TERM-SUB|NG-A-high-elbow-guillotine-standi|front_headlock|End State: Submission|Yes|Opponent leaves neck → Finish|1|1|Front headlock|Top|High-elbow guillotine (standing/grounded)|Opponent leaves neck|Finish|Submission|Submission|High-elbow grip + chest pressure|Stack and pass|No-gi|Blue|High|Core no-gi front headlock sub.|High elbow; palm to chest|Elbow low|neck_control;posture_breaking;pressure|guillotine_chain|Medium|VID-NG-FH-001|Go behind|R-NECK-EXPOSED|G-GUILLOTINE-GRIP
NG-FH-002|NG-A-peruvian-necktie|TERM-SUB|NG-A-peruvian-necktie|front_headlock|End State: Submission|Yes|Opponent posts arm → Invert + crank|1|3|Front headlock|Top|Peruvian necktie|Opponent posts arm|Invert + crank|Submission|Submission|Invert over head; legs trap|Opponent squares up|No-gi|Brown|Low|Flashy necktie.|Invert over head; trap with legs|Inverting without arm trap|arm_isolation;invert;angle|necktie_chain|High|VID-NG-FH-002|Darce|R-POSTS-ARM-ACROSS|G-ANACONDA-GRIP
NG-FH-003|NG-A-japanese-necktie|TERM-SUB|NG-A-japanese-necktie|front_headlock|End State: Submission|Yes|Opponent shells up → Hip over head; crank|1|2|Front headlock|Top|Japanese necktie|Opponent shells up|Hip over head; crank|Submission|Submission|Hip presses back of head|Neck tucked|No-gi|Brown|Medium|Japanese necktie finish.|Hip over head; sit down|Cranking with arms only|pressure;neck_control|necktie_chain|Medium|VID-NG-FH-003|Spin behind|R-SHELLS-UP|G-HIP-CONTROL
NG-LL-001|NG-A-straight-ashi-entry|LE-ASHI|NG-A-straight-ashi-entry|guard_bottom|Ashi Garami Subtree|No|Opponent standing → Enter ashi garami|1|1|Open guard|Bottom|Straight ashi entry|Opponent standing|Enter ashi garami|Ashi garami|Leg entry|Outside foot on hip + inside shin|Kicks leg free|No-gi|Blue|High|Foundational leg entry.|Outside foot on hip; inside shin behind knee; ankle aligned|No ankle alignment|leg_entangle;frames;ruleset|ashi_chain|Medium|VID-NG-LL-001|SLX|R-STAYS-STANDING|G-ASHI-GARAMI
NG-LL-002|NG-A-straight-ankle-lock|TERM-SUB|NG-A-straight-ankle-lock|leg_entanglement|End State: Submission|Yes|Opponent rotates out → Finish straight ankle|1|1|Ashi garami|Bottom|Straight ankle lock|Opponent rotates out|Finish straight ankle|Submission|Submission|Heel line + Achilles exposed|Rotates and stands|No-gi|Blue|High|IBJJF-legal at all belts no-gi.|Trap foot; Achilles on radius; fall back|Arm grab instead of pit|leg_entangle;arm_isolation;ruleset|ankle_lock_chain|Medium|VID-NG-LL-002|Switch to 50/50|R-ROTATES-OUT|G-ASHI-GARAMI
NG-LL-003|NG-A-transition-to-50-50|LE-5050|NG-A-transition-to-50-50|leg_entanglement|50/50 Subtree|No|Opponent rotates free → Thread leg to 50/50|1|2|Ashi garami|Bottom|Transition to 50/50|Opponent rotates free|Thread leg to 50/50|50/50|Leg entanglement|Legs crossed around one leg|Loses hip control|No-gi|Purple|Medium|Common leg game pivot.|Cross inside leg; stay inside|Staying outside|leg_entangle;angle;hip_mobility|leg_lock_chain|Medium|VID-NG-LL-003|Switch back to ashi|R-ROTATES-OUT|G-50-50
NG-LL-004|NG-A-heel-hook-inside|TERM-SUB|NG-A-heel-hook-inside|leg_entanglement|End State: Submission|Yes|Opponent rotates toward heel → Finish inside heel hook|1|1|50/50|Bottom|Heel hook (inside)|Opponent rotates toward heel|Finish inside heel hook|Submission|Submission|Heel exposed + hip rotation|Boot-up defense|No-gi|Brown|High|Advanced leg lock - ruleset-dependent.|Hip out; heel on radius; rotate|Cranking before exposure|leg_entangle;angle;ruleset|heel_hook_chain|High|VID-NG-LL-004|Switch entanglement|R-BOOTS-UP|G-50-50
